 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
80,99729630,8,6,392,11595,392,0,49.0,138.5929291,4344,0,1932.5,1754.831473,120.1949711,0.140379544,7671510.0,27700000.0,99700000,0,99700000,14200000.0,37700000.0,99700000,0,27374,5474.8,7805.259073,17155,16,0,0,0,0,264,200,0.080216882,0.060162662,0,4344,799.1333333,1423.751527,2027068.41,0,0,0,0,1,0,0,0,0,856.2142857,49.0,1932.5,264,0,0,0,0,0,0,8,392,6,11595,274,235,1,32,1013.0,0.0,1013,1013,99700000.0,0.0,99700000,99700000,DoS Hulk
443,302644,10,11,429,3997,186,0,42.9,73.78414464,1398,0,363.3636364,552.8555458,14624.44324,69.3884564,15132.2,22262.65179,80292,7,302448,33605.33333,28806.40687,80292,211,267305,26730.5,39959.20607,115028,48,0,0,0,0,340,360,33.0421221,36.34633431,0,1398,201.1818182,418.9458013,175515.5844,0,0,0,1,0,0,0,0,1,210.7619048,42.9,363.3636364,340,0,0,0,0,0,0,10,429,11,3997,29200,118,3,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
49791,5,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,600000.0,2.5,2.121320344,4,1,5,2.5,2.121320344,4,1,0,0.0,0.0,0,0,0,0,0,0,96,0,600000.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,96,0,0,0,0,0,0,3,0,0,0,6088,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,23837,2,2,68,484,34,34,34.0,0.0,242,242,242.0,0.0,23157.2765,167.8063515,7945.666667,13756.2362,23830,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,64,64,83.90317574,83.90317574,34,242,117.2,113.926292,12979.2,0,0,0,0,0,0,0,0,1,146.5,34.0,242.0,64,0,0,0,0,0,0,2,68,2,484,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
35252,555,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,3603.603604,555.0,0.0,555,555,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,1801.801802,1801.801802,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,227,229,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,5416085,7,3,599,141,517,0,85.57142857,191.3085267,141,0,47.0,81.40638796,136.6300566,1.846352116,601787.2222,1752223.784,5273866,3,5416085,902680.8333,2178995.707,5350419,3,109847,54923.5,31055.42272,76883,32964,0,0,0,0,232,104,1.292446481,0.553905635,0,517,67.27272727,155.2257008,24095.01818,0,0,0,1,0,0,0,0,0,74.0,85.57142857,47.0,232,0,0,0,0,0,0,7,599,3,141,29200,59,3,32,142216.0,0.0,142216,142216,5273866.0,0.0,5273866,5273866,BENIGN
80,3041029,4,4,392,510,380,0,98.0,188.0212754,498,0,127.5,247.0161938,296.6101277,2.630688494,434432.7143,1013693.09,2727813,34,313216,104405.3333,129465.2927,249305,107,2977259,992419.6667,1674094.962,2925291,1484,0,0,0,0,92,92,1.315344247,1.315344247,0,498,100.2222222,194.3410519,37768.44444,0,0,0,1,0,0,0,0,1,112.75,98.0,127.5,92,0,0,0,0,0,0,4,392,4,510,8192,110,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,62415327,20,16,1490,6420,622,0,74.5,183.5324437,1448,0,401.25,562.3082784,126.731692,0.576781405,1783295.057,3805675.981,10000000,10,62400000,3285017.211,4736270.641,10100000,222,62400000,4157193.333,5005478.884,10100000,49,0,0,0,0,648,520,0.320434114,0.256347291,0,1448,213.7837838,420.9400284,177190.5075,0,0,0,1,0,0,0,0,0,219.7222222,74.5,401.25,648,0,0,0,0,0,0,20,1490,16,6420,29200,119,4,32,368754.8333,779120.067,1959127,50582,10000000.0,13609.45412,10000000,10000000,BENIGN
51319,520,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,3846.153846,520.0,0.0,520,520,520,520.0,0.0,520,520,0,0.0,0.0,0,0,0,0,0,0,40,0,3846.153846,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,16646,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
52828,209,2,1,37,6,31,6,18.5,17.6776695297,6,6,6.0,0.0,205741.626794258,14354.0669856459,104.5,55.8614357137,144,65,209,209.0,0.0,209,209,0,0.0,0.0,0,0,1,0,0,0,40,20,9569.3779904306,4784.6889952153,6,31,18.5,14.4337567297,208.3333333333,0,1,0,0,1,0,0,0,0,24.6666666667,18.5,6.0,40,0,0,0,0,0,0,2,37,1,6,946,0,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
6001,36,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,166666.6667,55555.55556,36.0,0.0,36,36,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,27777.77778,27777.77778,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
53,35980698,2,2,102,306,60,42,51.0,12.7279220614,218,88,153.0,91.9238815543,11.3394131487,0.1111707171,11993566.0,20710236.0238421,35907682,23542,35957156,35957156.0,0.0,35957156,35957156,35931224,35931224.0,0.0,35931224,35931224,0,0,0,0,52,64,0.0555853586,0.0555853586,42,218,93.6,71.461877949,5106.8,0,0,0,0,0,0,0,0,1,117.0,51.0,153.0,52,0,0,0,0,0,0,2,102,2,306,-1,-1,1,20,49474.0,0.0,49474,49474,35907682.0,0.0,35907682,35907682,BENIGN
51755,32,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,375000.0,62500.0,32.0,0.0,32,32,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,31250.0,31250.0,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,58,256,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,4778511,5,1,135,46,46,6,27.0,20.1246118,46,46,46.0,0.0,37.87790799,1.255621259,955702.2,2077793.33,4672333,3,4778511,1194627.75,2318877.303,4672333,3,0,0.0,0.0,0,0,1,0,0,0,100,20,1.04635105,0.20927021,6,46,32.42857143,18.86670032,355.952381,0,1,0,0,1,0,0,0,0,37.83333333,27.0,46.0,100,0,0,0,0,0,0,5,135,1,46,258,351,4,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,8007581,136,215,8842,360808,790,0,65.01470588,172.6722001,4039,0,1678.176744,774.2589139,46162.50526,43.83346232,22878.80286,266508.4593,4963074,0,3044503,22551.87407,45211.63008,223298,1,7897890,36906.02804,343264.828,4999291,1,0,0,0,0,4684,6888,16.98390563,26.84955669,0,4039,1050.142045,998.8634779,997728.2476,0,0,0,1,0,0,0,0,1,1053.133903,65.01470588,1678.176744,4684,0,0,0,0,0,0,136,8842,215,360808,29200,399,18,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,180008,1,1,56,200,56,56,56.0,0.0,200,200,200.0,0.0,1422.159015,11.11061731,180008.0,0.0,180008,180008,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,40,5.555308653,5.555308653,56,200,104.0,83.13843876,6912.0,0,0,0,0,0,0,0,0,1,156.0,56.0,200.0,32,0,0,0,0,0,0,1,56,1,200,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,10457025,5,4,505,3525,505,0,101.0,225.8428657,3525,0,881.25,1762.5,385.3868572,0.860665438,1307128.125,2422172.638,5451347,30,5455033,1363758.25,2726572.502,5453617,313,10500000,3485665.0,3025924.99,5451347,1166,0,0,0,0,168,136,0.478147465,0.382517972,0,3525,403.0,1108.3802,1228506.667,0,0,0,1,0,0,0,0,0,447.7777778,101.0,881.25,168,0,0,0,0,0,0,5,505,4,3525,29200,235,1,32,1196.0,0.0,1196,1196,5451347.0,0.0,5451347,5451347,DoS GoldenEye
443,4,2,0,31,0,31,0,15.5,21.92031022,0,0,0.0,0.0,7750000.0,500000.0,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0.0,0.0,0,0,1,0,0,0,64,0,500000.0,0.0,0,31,20.66666667,17.89785834,320.3333333,0,1,0,0,1,0,0,0,0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,252,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,81226,1,1,58,126,58,58,58.0,0.0,126,126,126.0,0.0,2265.284515,24.62265777,81226.0,0.0,81226,81226,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,40,12.31132888,12.31132888,58,126,80.66666667,39.2598183,1541.333333,0,0,0,0,0,0,0,0,1,121.0,58.0,126.0,32,0,0,0,0,0,0,1,58,1,126,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
8254,12,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,500000.0,166666.6667,12.0,0.0,12,12,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,83333.33333,83333.33333,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
3766,1,2,0,4,0,2,2,2.0,0.0,0,0,0.0,0.0,4000000.0,2000000.0,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0.0,0.0,0,0,0,0,0,0,48,0,2000000.0,0.0,2,2,2.0,0.0,0.0,0,0,0,1,0,0,0,0,0,3.0,2.0,0.0,48,0,0,0,0,0,0,2,4,0,0,1024,-1,1,24,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,560306,3,5,26,11601,20,0,8.666666667,10.26320288,5840,0,2320.2,2436.833027,20751.16097,14.27791243,80043.71429,200839.0366,535047,62,24937,12468.5,16899.14496,24418,519,560204,140051.0,263589.5559,535047,62,0,0,0,0,72,112,5.35421716,8.923695267,0,5840,1291.888889,2110.95076,4456113.111,0,0,0,1,0,0,0,0,1,1453.375,8.666666667,2320.2,72,0,0,0,0,0,0,3,26,5,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
53,343,2,2,90,196,45,45,45.0,0.0,98,98,98.0,0.0,833819.242,11661.80758,114.3333333,196.2990915,341,1,1,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0,0,0,40,40,5830.90379,5830.90379,45,98,66.2,29.02929555,842.7,0,0,0,0,0,0,0,0,1,82.75,45.0,98.0,40,0,0,0,0,0,0,2,90,2,196,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,3,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,64,0,666666.6667,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,251,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS Hulk
80,95671247,4,6,399,11595,393,0,99.75,195.5204593,5792,0,1932.5,2181.008184,125.36682,0.104524612,10600000.0,31800000.0,95500000,46,95500000,31800000.0,55100000.0,95500000,1004,146295,29259.0,59350.19047,135097,46,0,0,0,0,124,200,0.041809845,0.062714767,0,5792,1090.909091,1823.59351,3325493.291,1,0,0,0,0,0,0,0,1,1200.0,99.75,1932.5,124,0,0,0,0,0,0,4,399,6,11595,0,235,1,20,0.0,0.0,0,0,95500000.0,0.0,95500000,95500000,DoS Hulk
53,1232105,2,2,60,272,30,30,30.0,0.0,136,136,136.0,0.0,269.4575543,3.246476558,410701.6667,711351.8233,1232100,1,1,1.0,0.0,1,1,4,4.0,0.0,4,4,0,0,0,0,40,80,1.623238279,1.623238279,30,136,72.4,58.0585911,3370.8,0,0,0,0,0,0,0,0,1,90.5,30.0,136.0,40,0,0,0,0,0,0,2,60,2,272,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
55470,61,2,1,31,6,31,0,15.5,21.92031022,6,6,6.0,0.0,606557.377,49180.32787,30.5,38.89087297,58,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,1,0,0,0,64,20,32786.88525,16393.44262,0,31,17.0,16.35033129,267.3333333,0,1,0,0,1,0,0,0,0,22.66666667,15.5,6.0,64,0,0,0,0,0,0,2,31,1,6,972,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,118909179,24,22,2655,4074,1109,0,110.625,310.2608738,1677,0,185.1818182,465.0313493,56.58940762,0.386849866,2642426.2,4326147.986,10100000,3,119000000,5169964.304,5001211.087,10200000,3,116000000,5506019.0,5104120.709,10200000,220,0,0,0,0,776,712,0.201834713,0.185015153,0,1677,143.1702128,385.6137581,148697.9704,0,0,0,1,0,0,0,0,0,146.2826087,110.625,185.1818182,776,0,0,0,0,0,0,24,2655,22,4074,29200,6982,5,32,401995.9091,898778.5319,3111915,130786,10100000.0,1566.284091,10100000,10100000,BENIGN
37132,3,2,0,31,0,31,0,15.5,21.92031022,0,0,0.0,0.0,10300000.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,1,0,0,0,64,0,666666.6667,0.0,0,31,20.66666667,17.89785834,320.3333333,0,1,0,0,1,0,0,0,0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,287,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,188,2,2,52,308,26,26,26.0,0.0,154,154,154.0,0.0,1914893.617,21276.59574,62.66666667,68.19335256,137,3,3,3.0,0.0,3,3,48,48.0,0.0,48,48,0,0,0,0,40,40,10638.29787,10638.29787,26,154,77.2,70.10848736,4915.2,0,0,0,0,0,0,0,0,1,96.5,26.0,154.0,40,0,0,0,0,0,0,2,52,2,308,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,180,2,2,94,256,47,47,47.0,0.0,128,128,128.0,0.0,1944444.44444444,22222.2222222222,60.0,97.8621479429,173,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,64,64,11111.1111111111,11111.1111111111,47,128,79.4,44.3655271579,1968.3,0,0,0,0,0,0,0,0,1,99.25,47.0,128.0,64,0,0,0,0,0,0,2,94,2,256,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,30776,2,2,94,206,47,47,47.0,0.0,103,103,103.0,0.0,9747.855472,129.9714063,10258.66667,17762.46971,30769,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,40,40,64.98570315,64.98570315,47,103,69.4,30.67246322,940.8,0,0,0,0,0,0,0,0,1,86.75,47.0,103.0,40,0,0,0,0,0,0,2,94,2,206,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,15571280,10,10,697,5662,318,0,69.7,111.5288204,1481,2,566.2,685.1340177,408.3800433,1.284415925,819541.0526,2470484.091,9950442,1,10600000,1174594.778,3291479.197,9950442,4,15400000,1713446.222,3538917.731,10200000,1,0,0,0,0,212,204,0.642207962,0.642207962,0,1481,302.8095238,532.2342171,283273.2619,0,0,0,1,0,0,0,0,1,317.95,69.7,566.2,212,0,0,0,0,0,0,10,697,10,5662,8192,32160,9,20,620911.0,0.0,620911,620911,9950442.0,0.0,9950442,9950442,BENIGN
53,59856,2,2,68,182,34,34,34.0,0.0,91,91,91.0,0.0,4176.690724,66.82705159,19952.0,34514.58479,59806,1,1,1.0,0.0,1,1,49,49.0,0.0,49,49,0,0,0,0,64,64,33.4135258,33.4135258,34,91,56.8,31.22018578,974.7,0,0,0,0,0,0,0,0,1,71.0,34.0,91.0,64,0,0,0,0,0,0,2,68,2,182,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,110280521,16,16,1160,1760,580,0,72.5,198.1077148,654,0,110.0,225.6817819,26.47793077,0.290169104,3557436.161,4851152.782,10000000,3,110000000,7350486.933,4567375.06,10000000,3,110000000,7350491.0,4574601.443,10000000,3,1,0,0,0,512,512,0.145084552,0.145084552,0,654,106.0606061,223.297159,49861.62121,0,1,0,0,1,0,0,0,1,109.375,72.5,110.0,512,0,0,0,0,0,0,16,1160,16,1760,805,307,1,32,31505.72727,19088.33616,79300,23000,9991885.545,100008.5422,10000000,9690998,BENIGN
53,31332,2,2,64,160,32,32,32.0,0.0,80,80,80.0,0.0,7149.240393,127.665007,10444.0,18083.47646,31325,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,40,40,63.83250351,63.83250351,32,80,51.2,26.29068276,691.2,0,0,0,0,0,0,0,0,1,64.0,32.0,80.0,40,0,0,0,0,0,0,2,64,2,160,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
1217,84,2,2,4,12,2,2,2.0,0.0,6,6,6.0,0.0,190476.1905,47619.04762,28.0,45.90206967,81,1,1,1.0,0.0,1,1,2,2.0,0.0,2,2,0,0,0,0,48,40,23809.52381,23809.52381,2,6,3.6,2.19089023,4.8,0,0,0,1,0,0,0,0,1,4.5,2.0,6.0,48,0,0,0,0,0,0,2,4,2,12,1024,0,1,24,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,32869,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,365.085643,60.84760717,32869.0,0.0,32869,32869,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,30.42380358,30.42380358,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,30016,1024,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,377,2,2,94,220,47,47,47.0,0.0,110,110,110.0,0.0,832891.24668435,10610.0795755968,125.6666666667,215.9290006769,375,1,1,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0,0,0,64,64,5305.0397877984,5305.0397877984,47,110,72.2,34.5065211228,1190.7,0,0,0,0,0,0,0,0,1,90.25,47.0,110.0,64,0,0,0,0,0,0,2,94,2,220,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
